Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,38,0.24233333333333335,0.11013678364248301,1
2,0,0.18721618147933936,0.10703707193442387,1
3,0,0.20606854256854257,0.1366146009194531,2
4,11,0.21189285714285713,0.10210531763832223,1
5,0,0.20393326118326116,0.11327796852072565,1
6,0,0.1928200775832355,0.11148136157629299,1
7,148,0.3425,0.10599724839195906,1
8,0,0.20632128982128983,0.12172934832021977,1
9,187,0.43666666666666665,0.09938701010583717,1
10,23,0.24783333333333332,0.11152117387394297,1
11,0,0.2016678599178599,0.11175814245754924,1
12,51,0.276,0.10053523428795166,1
13,227,0.46,0.09165151389911683,1
14,43,0.25733333333333336,0.10011992808627061,1
15,20,0.245,0.09805044053388484,1
16,136,0.3475,0.10932558407496999,1
17,56,0.2853333333333333,0.11186003158709847,1
18,60,0.26666666666666666,0.09006170724070864,1
19,0,0.21403664799253036,0.11860183195535323,1
20,0,0.1919209956709956,0.10580920971514823,1
21,0,0.19937673437673437,0.10674284329402356,1
22,0,0.2124365079365079,0.11720866999929345,1
23,139,0.34,0.10519822558706332,1
24,232,0.45,0.09574271077563382,1
25,0,0.20395909645909643,0.11152116029847471,1
26,182,0.42166666666666663,0.10125600119389361,1
27,206,0.4116666666666666,0.10125600119389358,1
28,0,0.20922630147630145,0.1337297988438108,2
29,38,0.25933333333333336,0.11068774899589284,1
30,56,0.2803333333333333,0.10570871928716823,1
