Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,0,0.20590945165945165,0.11696553873107318,1
2,22,0.191976911976912,0.11366229691029006,1
3,783,0.17166002461590696,0.09990985077414426,1
4,0,0.21404401154401154,0.12635595720850648,1
5,213,0.17421608946608946,0.10697110772825955,1
6,113,0.18750306637806635,0.10855214362920762,1
7,0,0.19098387723387725,0.1154799317334866,1
8,0,0.19887174710394523,0.10820909188954402,1
9,118,0.18209956709956707,0.10216505475307303,1
10,186,0.20019516594516593,0.1109522732873008,1
11,140,0.1781468253968254,0.10740985625319763,1
12,3,0.20630999555999552,0.10732973599769255,1
13,56,0.1892031024531024,0.10733724650459363,1
14,25,0.1878755411255411,0.11323798835792392,1
15,126,0.17191700843016633,0.10293304632975979,1
16,186,0.1775082972582972,0.10233484622002471,1
17,121,0.19047474747474744,0.10961954926633603,1
18,358,0.17428751803751802,0.1094831341850997,1
19,139,0.1835717893217893,0.09912447046082926,1
20,106,0.19184534909534903,0.10322981828757251,1
21,401,0.1731469363969364,0.100042455403631,1
22,1,0.18988961038961036,0.10551213632635736,1
23,613,0.18074422799422799,0.09786917801503114,1
24,596,0.18195238095238092,0.09568892106462729,1
25,1037,0.19344660894660895,0.11641656750714269,1
26,49,0.19155988455988454,0.10481855419906194,1
27,47,0.18720743145743138,0.09911918273392124,1
28,0,0.19976695526695526,0.11134215304135037,1
29,0,0.1992618857750436,0.11131415376312627,1
30,456,0.1804925352425352,0.09907143652929615,1
