Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,3,0.2019820544952124,0.1167628108618154,1
2,0,0.20467532467532465,0.11320596704538981,1
3,0,0.20586345598845596,0.11490635263047759,1
4,0,0.18807081807081805,0.11415330595042496,1
5,22,0.18249217449217447,0.10854265240068174,1
6,24,0.19711580086580086,0.11677556985153792,1
7,1145,0.1424597557155607,0.10669635040908276,1
8,373,0.14900020301336092,0.1061106250717251,1
9,205,0.159247224997225,0.11123087516785124,1
10,559,0.14650776021364256,0.10374483659504206,1
11,77,0.1639128094128094,0.0981438672707103,1
12,0,0.2226984126984127,0.13832133470716867,2
13,0,0.1949606782106782,0.10731468670974922,1
14,869,0.1522096128845355,0.11625392404586951,1
15,183,0.15657586857586858,0.09856182666453575,1
16,0,0.19799639249639245,0.10080264673924924,1
17,0,0.20419718190306427,0.11170338523589349,1
18,58,0.1736939449439449,0.09926586099567901,1
19,0,0.20177777777777778,0.11827515896211356,1
20,1828,0.14246992141845086,0.11001819248272265,1
21,39,0.18256782106782105,0.11017580051522796,1
22,693,0.14745181207681207,0.1043126410483046,1
23,0,0.20567146742146739,0.13759510805799563,2
24,37,0.19160389610389608,0.11436998898084298,1
25,280,0.15734578330166568,0.10378392503753785,1
26,342,0.14934281812958286,0.10324218056231858,1
27,159,0.1536066017316017,0.10213623228974252,1
28,0,0.20757090028994052,0.12242896649154861,1
29,1138,0.14541227236815474,0.10719907679134286,1
30,381,0.15142324342324343,0.11214012629015967,1
