Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,59,0.375,0.1346291201783626,1
2,0,0.20463369963369962,0.1369513594687734,1
3,136,0.51,0.06999999999999999,1
4,68,0.38166666666666665,0.12370439676009007,1
5,26,0.27799999999999997,0.12773409881468611,1
6,1241,0.51,0.06999999999999999,1
7,48,0.36666666666666664,0.13333333333333333,1
8,1000,0.51,0.06999999999999999,1
9,62,0.37,0.12151817422372124,1
10,0,0.188,0.12974759787155657,1
11,50,0.3073333333333333,0.13462540622037136,1
12,668,0.51,0.06999999999999999,1
13,45,0.28099999999999997,0.12970093805880253,1
14,94,0.48666666666666664,0.09333333333333335,1
15,82,0.51,0.06999999999999999,1
16,1688,0.51,0.06999999999999999,1
17,8,0.23209523809523813,0.1254237624272446,1
18,0,0.20517604617604618,0.12918652096756325,1
19,67,0.3483333333333333,0.11265729744080792,1
20,103,0.42,0.11661903789690602,1
21,176,0.51,0.06999999999999999,1
22,106,0.3833333333333333,0.1118033988749895,1
23,79,0.385,0.12459935794377112,1
24,80,0.41666666666666663,0.11666666666666668,1
25,142,0.45666666666666667,0.10959521481849063,1
26,884,0.51,0.06999999999999999,1
27,57,0.3683333333333333,0.11557825631723873,1
28,55,0.33,0.1268857754044952,1
29,202,0.51,0.06999999999999999,1
30,242,0.51,0.06999999999999999,1
