Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,51,0.31166666666666665,0.12781279713358562,1
2,0,0.1868751803751804,0.14115221323371174,1
3,35,0.2763333333333333,0.12152228876492849,1
4,61,0.29666666666666663,0.11566234381931648,1
5,80,0.3883333333333333,0.12539936203984453,1
6,0,0.20978643578643577,0.136860295797691,1
7,38,0.30066666666666664,0.13767756211929055,1
8,87,0.3833333333333333,0.12583057392117916,1
9,151,0.43,0.11590225767142474,1
10,0,0.20754906204906207,0.13739635778186135,1
11,182,0.4433333333333333,0.11357816691600547,1
12,323,0.51,0.06999999999999999,1
13,135,0.41,0.116476034731041,1
14,75,0.34,0.12675435561221027,1
15,198,0.5,0.08164965809277261,1
16,187,0.46333333333333326,0.10692676621563627,1
17,55,0.30333333333333334,0.12220201853215573,1
18,73,0.325,0.12162099599438689,1
19,127,0.3683333333333333,0.11191514642799695,1
20,28,0.284,0.12440793115124667,1
21,84,0.3516666666666666,0.12833333333333333,1
22,68,0.30833333333333335,0.125,1
23,86,0.35666666666666663,0.12914247085207012,1
24,0,0.21309126984126983,0.14376421950331675,1
25,512,0.51,0.06999999999999999,1
26,138,0.46,0.10832051206181281,1
27,39,0.305,0.13124404748406687,1
28,56,0.3133333333333333,0.1242309676905615,1
29,136,0.4133333333333333,0.11661903789690602,1
30,0,0.2003015873015873,0.1386825578501199,1
