Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,15,0.22801190476190478,0.10996964833271847,1
2,148,0.39833333333333326,0.0997079067409735,1
3,0,0.21239511365827154,0.14029221940264977,2
4,74,0.29700000000000004,0.10177262238277376,1
5,62,0.2825,0.1331743844238323,2
6,35,0.2551666666666667,0.10297505091579762,1
7,127,0.3225,0.1018270592720815,1
8,151,0.42666666666666664,0.10088497300281038,1
9,224,0.4233333333333333,0.10115993936995679,1
10,209,0.4733333333333333,0.08406346808612329,1
11,39,0.24733333333333335,0.10652907792919472,1
12,221,0.40333333333333327,0.10049875621120892,1
13,41,0.2635,0.11082255586697543,1
14,0,0.19288888888888883,0.10816554364700201,1
15,143,0.3116666666666667,0.08945824600213094,1
16,76,0.3325,0.10833012815771366,1
17,22,0.2396666666666667,0.10270724306385495,1
18,0,0.19171006771006766,0.11035554168143735,1
19,84,0.31250000000000006,0.10631125685144228,1
20,0,0.18525129445717678,0.10722393238430958,1
21,333,0.505,0.049749371855330994,1
22,0,0.20219588744588746,0.11434937407940453,1
23,0,0.18171031746031743,0.10343738048893981,1
24,25,0.25733333333333336,0.11448726275587749,1
25,105,0.3091666666666667,0.10884175567206629,1
26,247,0.385,0.09630680142129112,1
27,376,0.505,0.049749371855330994,1
28,19,0.22528571428571426,0.0932602848249113,1
29,287,0.505,0.049749371855330994,1
30,84,0.321,0.11934124740982614,1
