Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,59,0.26583333333333337,0.06634819766454347,0
2,54,0.2643333333333333,0.07813876545394524,0
3,57,0.2581666666666667,0.08008658508833492,0
4,51,0.27116666666666667,0.09468823111195557,1
5,56,0.256,0.06580780095601634,0
6,54,0.27266666666666667,0.11458912106594876,1
7,58,0.253,0.06061627944152735,0
8,58,0.2758333333333334,0.09166287870961358,0
9,0,0.20105465367965367,0.1161435735859862,1
10,58,0.2838333333333334,0.09673718692071488,0
11,0,0.21400432900432897,0.12289410372245872,1
12,0,0.20581721056721056,0.10886710543411511,1
13,55,0.273,0.08157409719594408,0
14,57,0.28600000000000003,0.11966898790692042,1
15,54,0.25783333333333336,0.10229192973489594,1
16,55,0.26833333333333337,0.054999999999999986,0
17,0,0.19543253968253965,0.10554313530878628,1
18,47,0.26366666666666666,0.09967669960650002,1
19,54,0.2638333333333333,0.08151533598041537,0
20,0,0.19348723498723497,0.10737419102835827,1
21,0,0.2043618326118326,0.1113277438178798,1
22,2,0.20372258297258294,0.10993119156464301,1
23,53,0.28150000000000003,0.0871746331604938,0
24,50,0.26983333333333337,0.1079015755213982,1
25,7,0.2173095238095238,0.09878706285161065,1
26,0,0.19136976911976908,0.1091929430915855,1
27,57,0.25566666666666665,0.06700829136092869,0
28,35,0.251,0.11668618884283892,1
29,56,0.26783333333333337,0.07349433084712498,0
30,51,0.27149999999999996,0.11176102978130514,1
