Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,39,0.18220310245310242,0.09755423609322349,1
2,356,0.1835717893217893,0.10616448906945253,1
3,11,0.18121969696969692,0.10081457228464515,1
4,66,0.19105339105339103,0.10661899628972776,1
5,243,0.1787388167388167,0.10356484394804105,1
6,341,0.19862698412698415,0.11869693613578311,1
7,361,0.17701298701298696,0.10022161551425819,1
8,642,0.17523629148629147,0.10596764589108822,1
9,13,0.1969729437229437,0.09908778709526123,1
10,0,0.19736804379195683,0.10767575273446749,1
11,24,0.20013924963924962,0.10346475299515275,1
12,52,0.1843928571428571,0.10475598310284134,1
13,394,0.1779808802308802,0.10865588924753385,1
14,185,0.18996764346764342,0.10009303581580337,1
15,960,0.17101224652540445,0.10695504466547628,1
16,1230,0.18018326118326114,0.1094922876783243,1
17,57,0.202531746031746,0.10573876837668429,1
18,7,0.19419913419913418,0.10514316216421182,1
19,268,0.18741666666666665,0.10651880718008808,1
20,270,0.1798407703407703,0.10999443144909654,1
21,30,0.18872691197691197,0.10432174048175784,1
22,0,0.18675865800865796,0.10194948349844934,1
23,1135,0.18592604617604613,0.10954559492686612,1
24,148,0.19190873015873017,0.11666132013178318,1
25,0,0.20429891350479587,0.1181553571586197,1
26,40,0.18033344433344428,0.10276434640888536,1
27,56,0.17864762035350268,0.1029102100478153,1
28,33,0.19072727272727266,0.10139051253104878,1
29,249,0.17776623376623374,0.1021567705637065,1
30,316,0.182480953686836,0.11235558608360376,1
