Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,0,0.1936832611832612,0.1262101235409313,1
2,34,0.32166666666666666,0.1190354755711273,1
3,22,0.26466666666666666,0.13058160496622623,1
4,38,0.32466666666666666,0.13569737572177945,1
5,111,0.4233333333333333,0.08306623862918076,0
6,107,0.4333333333333333,0.08164965809277262,0
7,118,0.4433333333333333,0.0789514618821801,0
8,0,0.20354711954711951,0.136262646011239,1
9,110,0.46,0.07118052168020875,0
10,108,0.39666666666666667,0.08089774066341066,0
11,72,0.3633333333333333,0.13515423288475528,1
12,117,0.39666666666666667,0.08089774066341066,0
13,19,0.2643333333333333,0.1283229433023486,1
14,0,0.1964194139194139,0.13202701930280306,1
15,112,0.5,0.0,0
16,38,0.2956666666666667,0.12917731138933716,1
17,109,0.3933333333333333,0.08,0
18,41,0.35,0.12909944487358055,1
19,114,0.49666666666666665,0.023333333333333334,0
20,18,0.243,0.12051233224123671,1
21,0,0.19913780663780664,0.13437020068090708,1
22,45,0.33666666666666667,0.1311911243610295,1
23,112,0.35,0.05,0
24,106,0.46,0.07118052168020875,0
25,43,0.33,0.1268857754044952,1
26,49,0.355,0.12996794476587936,1
27,38,0.31666666666666665,0.11666666666666667,1
28,1,0.21323088023088022,0.1333677342040049,1
29,84,0.405,0.12473304828045105,1
30,51,0.31999999999999995,0.12288205727444508,1
