Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,75,0.3416666666666666,0.1227576655221353,1
2,0,0.2161197691197691,0.14280588148465978,1
3,290,0.51,0.06999999999999999,1
4,80,0.35666666666666663,0.1354416643594003,1
5,55,0.31499999999999995,0.117011395456454,1
6,100,0.37666666666666665,0.12046207333061767,1
7,18,0.266,0.12952734589009895,1
8,37,0.2756666666666666,0.1333420830462428,1
9,89,0.34,0.12675435561221027,1
10,120,0.4066666666666666,0.11623730516108464,1
11,143,0.41,0.116476034731041,1
12,101,0.40333333333333327,0.11590225767142473,1
13,84,0.385,0.12789970028633113,1
14,0,0.2183010878010878,0.141382317692791,1
15,389,0.51,0.06999999999999999,1
16,99,0.3533333333333333,0.1242309676905615,1
17,80,0.33333333333333326,0.12909944487358055,1
18,154,0.42666666666666664,0.11623730516108463,1
19,116,0.43,0.11590225767142474,1
20,416,0.51,0.06999999999999999,1
21,170,0.38666666666666666,0.11274356350191841,1
22,65,0.33833333333333326,0.11715374513859982,1
23,42,0.3523333333333333,0.1438367129769031,1
24,16,0.271,0.12182911529405986,1
25,82,0.3483333333333333,0.11629703349613008,1
26,44,0.3233333333333333,0.12871156384205215,1
27,61,0.33166666666666667,0.13280102074574243,1
28,72,0.45,0.11180339887498951,1
29,39,0.3283333333333333,0.13060755465643376,1
30,116,0.39666666666666667,0.11493959766377779,1
