Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,270,0.43666666666666665,0.09938701010583717,1
2,0,0.20695075757575754,0.11021024788501685,1
3,0,0.19511482961482962,0.1120216746657566,1
4,21,0.2267380952380952,0.10091466894442684,1
5,114,0.31250000000000006,0.10825317547305484,1
6,133,0.31500000000000006,0.10965856099730655,1
7,0,0.21060328560328556,0.1367548413659665,2
8,72,0.26716666666666666,0.10441517024732458,1
9,0,0.20197727272727273,0.10907790575810829,1
10,62,0.2856666666666667,0.10567297562658949,1
11,0,0.19069888444888441,0.10633914935629162,1
12,34,0.24283333333333332,0.09761759290437581,1
13,28,0.2538095238095238,0.12048983547799681,1
14,12,0.21555952380952376,0.11128860957070767,1
15,62,0.28350000000000003,0.11046605813551962,1
16,363,0.44166666666666665,0.09824855102126331,1
17,193,0.35916666666666663,0.11407538930218229,1
18,0,0.19966652791652792,0.13828212257868927,2
19,0,0.19411457986457986,0.1112794728519983,1
20,63,0.25,0.09874208829065749,1
21,4,0.19160317460317455,0.09987165358963544,1
22,259,0.3933333333333333,0.09865765724632497,1
23,0,0.19489475290791078,0.1080189017702139,1
24,133,0.31583333333333335,0.10560342481820054,1
25,241,0.3883333333333333,0.09733961166965893,1
26,0,0.19856060606060605,0.1090555560901738,1
27,34,0.2501666666666667,0.09898077815638977,1
28,23,0.24140476190476193,0.11279729928337638,1
29,99,0.2985,0.10274280185654533,1
30,257,0.39666666666666667,0.09938701010583717,1
