Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,84,0.26933333333333337,0.09671607932500158,1
2,131,0.3091666666666667,0.09449794236442988,1
3,53,0.2505,0.09861414705811739,1
4,0,0.20658369408369404,0.10796962888933298,1
5,0,0.1856535409035409,0.10630931880114564,1
6,195,0.36,0.10598742063723098,1
7,63,0.2705,0.10110102208517313,1
8,59,0.2906666666666667,0.11811764380386945,1
9,137,0.3191666666666667,0.10868852029742812,1
10,71,0.2868333333333334,0.1079942128079093,1
11,172,0.34,0.1128420725320717,1
12,106,0.29633333333333334,0.10675985512666579,1
13,192,0.3141666666666667,0.09989925480758657,1
14,0,0.19873953823953822,0.11460819736046504,1
15,52,0.2831666666666667,0.10706942192386727,1
16,274,0.3766666666666667,0.0931545907498808,1
17,0,0.18786580086580082,0.10873277641529716,1
18,22,0.2375,0.10318585866566904,1
19,0,0.19729004329004327,0.11685252283851803,1
20,89,0.2925,0.10361185582097575,1
21,344,0.40833333333333327,0.10103629710818451,1
22,171,0.31500000000000006,0.10380269746013347,1
23,0,0.19108777333777333,0.1095993213139703,1
24,121,0.33333333333333337,0.11180339887498948,1
25,73,0.28800000000000003,0.10796295661012623,1
26,118,0.31833333333333336,0.11079259903080169,1
27,173,0.3616666666666667,0.11069226611546888,1
28,415,0.40833333333333327,0.10103629710818451,1
29,0,0.2008863636363636,0.11867539772448679,1
30,140,0.3216666666666667,0.10409664313084793,1
